value,method,pooling_level,time_unit,resistance_threshold,dpval,sampling_intensity,time_in_days,true_value,delay_in_days,method_name
9,naats,monthly,month,0.2,30,0.2,300,196.0,104.0,NAAT remnants
8,naats,monthly,month,0.2,30,0.4,270,196.0,74.0,NAAT remnants
8,naats,monthly,month,0.2,30,0.8,270,196.0,74.0,NAAT remnants
21,gisp,monthly,month,0.2,30,5,660,196.0,464.0,Culture
20,gisp,monthly,month,0.2,30,10,630,196.0,434.0,Culture
16,gisp,monthly,month,0.2,30,20,510,196.0,314.0,Culture
15,gisp,monthly,month,0.2,30,40,480,196.0,284.0,Culture
13,gisp,monthly,month,0.2,30,80,420,196.0,224.0,Culture
18,gisp,monthly,month,0.21,30,25,570,219.0,351.0,Culture
11,naats,monthly,month,0.21,30,0.05,360,219.0,141.0,NAAT remnants
10,naats,monthly,month,0.21,30,0.1,330,219.0,111.0,NAAT remnants
10,naats,monthly,month,0.21,30,0.2,330,219.0,111.0,NAAT remnants
9,naats,monthly,month,0.21,30,0.4,300,219.0,81.0,NAAT remnants
9,naats,monthly,month,0.21,30,0.8,300,219.0,81.0,NAAT remnants
31,gisp,monthly,month,0.21,30,5,960,219.0,741.0,Culture
24,gisp,monthly,month,0.21,30,10,750,219.0,531.0,Culture
19,gisp,monthly,month,0.21,30,20,600,219.0,381.0,Culture
16,gisp,monthly,month,0.21,30,40,510,219.0,291.0,Culture
13,gisp,monthly,month,0.21,30,80,420,219.0,201.0,Culture
18,gisp,monthly,month,0.22,30,25,570,241.0,329.0,Culture
12,naats,monthly,month,0.22,30,0.05,390,241.0,149.0,NAAT remnants
11,naats,monthly,month,0.22,30,0.1,360,241.0,119.0,NAAT remnants
10,naats,monthly,month,0.22,30,0.2,330,241.0,89.0,NAAT remnants
10,naats,monthly,month,0.22,30,0.4,330,241.0,89.0,NAAT remnants
10,naats,monthly,month,0.22,30,0.8,330,241.0,89.0,NAAT remnants
31,gisp,monthly,month,0.22,30,5,960,241.0,719.0,Culture
24,gisp,monthly,month,0.22,30,10,750,241.0,509.0,Culture
19,gisp,monthly,month,0.22,30,20,600,241.0,359.0,Culture
16,gisp,monthly,month,0.22,30,40,510,241.0,269.0,Culture
14,gisp,monthly,month,0.22,30,80,450,241.0,209.0,Culture
18,gisp,monthly,month,0.23,30,25,570,262.0,308.0,Culture
13,naats,monthly,month,0.23,30,0.05,420,262.0,158.0,NAAT remnants
12,naats,monthly,month,0.23,30,0.1,390,262.0,128.0,NAAT remnants
11,naats,monthly,month,0.23,30,0.2,360,262.0,98.0,NAAT remnants
11,naats,monthly,month,0.23,30,0.4,360,262.0,98.0,NAAT remnants
10,naats,monthly,month,0.23,30,0.8,330,262.0,68.0,NAAT remnants
31,gisp,monthly,month,0.23,30,5,960,262.0,698.0,Culture
24,gisp,monthly,month,0.23,30,10,750,262.0,488.0,Culture
19,gisp,monthly,month,0.23,30,20,600,262.0,338.0,Culture
17,gisp,monthly,month,0.23,30,40,540,262.0,278.0,Culture
15,gisp,monthly,month,0.23,30,80,480,262.0,218.0,Culture
18,gisp,monthly,month,0.24,30,25,570,282.0,288.0,Culture
14,naats,monthly,month,0.24,30,0.05,450,282.0,168.0,NAAT remnants
12,naats,monthly,month,0.24,30,0.1,390,282.0,108.0,NAAT remnants
12,naats,monthly,month,0.24,30,0.2,390,282.0,108.0,NAAT remnants
11,naats,monthly,month,0.24,30,0.4,360,282.0,78.0,NAAT remnants
11,naats,monthly,month,0.24,30,0.8,360,282.0,78.0,NAAT remnants
31,gisp,monthly,month,0.24,30,5,960,282.0,678.0,Culture
24,gisp,monthly,month,0.24,30,10,750,282.0,468.0,Culture
19,gisp,monthly,month,0.24,30,20,600,282.0,318.0,Culture
17,gisp,monthly,month,0.24,30,40,540,282.0,258.0,Culture
15,gisp,monthly,month,0.24,30,80,480,282.0,198.0,Culture
20,gisp,monthly,month,0.25,30,25,630,302.0,328.0,Culture
14,naats,monthly,month,0.25,30,0.05,450,302.0,148.0,NAAT remnants
13,naats,monthly,month,0.25,30,0.1,420,302.0,118.0,NAAT remnants
12,naats,monthly,month,0.25,30,0.2,390,302.0,88.0,NAAT remnants
